City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Avarua,CK,2021-07-24 18:34:50,-21.2078,-159.775,69.85,88,13,3.44,few clouds
146,Valente,BR,2021-07-24 18:36:39,-11.4122,-39.4619,68.65,85,100,11.1,overcast clouds
147,Mehamn,NO,2021-07-24 18:36:40,71.0357,27.8492,44.78,87,100,25.28,overcast clouds
148,Auki,SB,2021-07-24 18:36:41,-8.7676,160.7034,77.04,86,99,3.98,overcast clouds
149,Haines Junction,CA,2021-07-24 18:36:42,60.7522,-137.5108,58.95,58,62,4.61,broken clouds
150,Thyboron,DK,2021-07-24 18:36:43,56.6985,8.2124,75.18,74,0,12.48,clear sky
151,Bereznik,RU,2021-07-24 18:36:44,62.8551,42.7072,50.59,65,94,4.92,light rain
152,Matagami,CA,2021-07-24 18:32:33,49.7502,-77.6328,71.71,60,1,16.11,clear sky
153,Vao,NC,2021-07-24 18:32:42,-22.6667,167.4833,71.02,83,1,6.46,clear sky
154,Bandarbeyla,SO,2021-07-24 18:32:51,9.4942,50.8122,77.74,74,22,29.57,few clouds
155,Kuytun,RU,2021-07-24 18:36:45,54.3419,101.5036,56.39,78,0,2.59,clear sky
156,Villarrica,PY,2021-07-24 18:36:46,-25.75,-56.4333,89.35,24,0,9.33,clear sky
157,Fortuna,US,2021-07-24 18:36:46,40.5982,-124.1573,85.42,80,1,11.5,clear sky
158,Namibe,AO,2021-07-24 18:36:47,-15.1961,12.1522,66.27,86,1,4.27,clear sky
159,Owando,CG,2021-07-24 18:36:47,-0.4819,15.8999,81.95,42,100,0.94,overcast clouds
160,Nanortalik,GL,2021-07-24 18:36:48,60.1432,-45.2371,43.45,97,100,13.69,overcast clouds
161,Souillac,MU,2021-07-24 18:38:00,-20.5167,57.5167,70.18,83,75,5.75,light intensity shower rain
162,Gambela,ET,2021-07-24 18:38:00,8.25,34.5833,70.41,93,100,2.01,overcast clouds
163,Singkang,MY,2021-07-24 18:34:31,2.1006,102.7994,76.89,86,44,3.15,scattered clouds
164,Dzhebariki-Khaya,RU,2021-07-24 18:38:01,62.2167,135.8,59.7,99,100,5.53,moderate rain
165,Yellowknife,CA,2021-07-24 18:37:37,62.456,-114.3525,55.33,57,75,8.05,broken clouds
166,Dunn,US,2021-07-24 18:38:01,44.95,-91.8835,87.35,63,0,9.22,clear sky
167,Kindersley,CA,2021-07-24 18:38:02,51.4668,-109.1682,77.02,29,1,8.05,clear sky
168,Guane,CU,2021-07-24 18:38:02,22.2025,-84.0875,90.91,52,74,0.72,broken clouds
169,Yumen,CN,2021-07-24 18:38:02,40.2833,97.2,76.48,51,94,10.11,overcast clouds
