City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Hirara,JP,83.61,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
493,Barnstaple,GB,70.09,scattered clouds,51.0802,-4.0581,The Park Hotel
494,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
496,Grand-Santi,GF,77.65,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
498,Andijon,UZ,82.26,clear sky,40.7821,72.3442,Bog'ishamol
499,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
500,Luanda,AO,70.72,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
501,Bell Ville,AR,71.11,clear sky,-32.6259,-62.6887,Hotel Central
503,Peniche,PT,72.88,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
504,Tura,IN,74.64,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
505,Pasighat,IN,78.57,overcast clouds,28.0667,95.3333,Siang Guest House
508,Sackville,CA,79.32,clear sky,45.9188,-64.3846,Sackville Bed and Breakfast
510,Sept-Iles,CA,67.05,few clouds,50.2001,-66.3821,Comfort Inn
511,Nha Trang,VN,86.0,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
512,Arys,KZ,86.22,clear sky,42.4252,68.795,Gostinitsa
515,Lapa,BR,74.48,clear sky,-25.7697,-49.7158,Pousada Solar da Lapa
517,Veraval,IN,82.22,overcast clouds,20.9,70.3667,Lords Inn Somnath
518,Sao Jose Da Coroa Grande,BR,77.31,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
522,Kindia,GN,70.56,light rain,10.0569,-12.8658,LES EAUX DE KILISSI
524,Marawi,PH,73.65,few clouds,7.9986,124.2928,Derogongan Residence
525,Gemena,CD,72.81,overcast clouds,3.25,19.7667,Hôtel Goshen
526,Diglur,IN,77.67,overcast clouds,18.55,77.6,YASIN DEGLOOR
528,Abha,SA,66.45,few clouds,18.2164,42.5053,Abha Hotel
529,Kamyaran,IR,80.42,clear sky,34.7956,46.9355,Mobile Adab موبایل ادب
534,Huangmei,CN,76.23,clear sky,30.1924,116.025,Tianxiachan Hotel
535,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
